Orthogroup	Rhodococcus_erythropolis_aa	Deinococcus_radiodurans_aa
OG0000297	ALU72868.1, ALU69226.1	UDL02206.1, UDK99259.1
OG0000298	ALU71689.1	UDL01355.1
OG0000298	ALU69204.1	UDK99993.1
OG0000299	ALU73412.1, ALU73424.1, ALU73695.1	UDL00556.1
OG0000300	ALU70982.1, ALU68865.1	UDL01426.1, UDL01670.1
OG0000301	ALU68392.1	UDL02003.1
OG0000301	ALU68338.1	UDL02001.1
OG0000302	ALU70030.1, ALU68311.1	UDL01183.1
OG0000303	ALU69249.1, ALU68314.1, ALU70029.1	UDL00542.1
OG0000305	ALU69883.1, ALU72562.1, ALU72553.1	UDL01814.1
OG0000307	ALU72548.1, ALU72168.1	UDL00352.1, UDK99629.1
OG0000308	ALU70620.1, ALU70718.1, ALU70675.1	UDL00314.1
OG0000309	ALU67766.1	UDL00730.1
OG0000309	ALU73702.1	UDL01381.1
OG0000310	ALU72672.1, ALU72040.1, ALU68948.1	UDL01846.1
OG0000311	ALU68378.1	UDL00104.1, UDK99992.1, UDL01494.1, UDL00802.1
OG0000312	ALU68463.1, ALU69867.1, ALU71575.1	UDL00382.1, UDL01973.1
OG0000313	ALU73243.1	UDL00410.1, UDL02011.1, UDL00790.1, UDL01006.1
OG0000337	ALU68205.1	UDL01674.1
OG0000341	ALU73155.1	UDK99763.1, UDL00162.1
OG0000342	ALU70749.1	UDL00860.1
OG0000343	ALU68188.1, ALU68813.1	UDL00839.1
OG0000344	ALU73457.1, ALU73153.1	UDK99368.1
OG0000345	ALU69403.1	UDL01453.1
OG0000346	ALU72005.1, ALU71448.1	UDL00431.1
OG0000349	ALU71978.1	UDK99498.1
OG0000350	ALU68996.1	UDL01573.1
OG0000351	ALU72076.1	UDL02296.1
OG0000353	ALU69214.1	UDL01484.1, UDL00800.1
OG0000354	ALU70099.1	UDK99853.1, UDK99854.1
OG0000355	ALU70531.1	UDL00712.1
OG0000357	ALU70903.1	UDL00110.1
OG0000358	ALU70925.1	UDK99969.1
OG0000359	ALU73436.1, ALU68600.1	UDL01372.1
OG0000360	ALU71738.1	UDK99756.1
OG0000361	ALU69745.1	UDL00076.1
OG0000363	ALU71136.1, ALU71137.1	UDK99791.1
OG0000364	ALU69488.1	UDK99977.1
OG0000366	ALU67667.1, ALU68676.1	UDL01809.1
OG0000367	ALU69059.1	UDL00787.1
OG0000368	ALU69000.1, ALU73082.1	UDL02045.1
OG0000369	ALU73274.1	UDK99400.1
OG0000370	ALU67733.1	UDL00488.1
OG0000372	ALU71975.1	UDL00221.1
OG0000373	ALU69541.1	UDL01745.1
OG0000375	ALU69810.1	UDL00907.1
OG0000377	ALU71910.1	UDL02176.1
OG0000380	ALU71021.1	UDL00068.1, UDK99798.1
OG0000381	ALU69566.1	UDL01955.1
OG0000382	ALU72841.1, ALU68944.1	UDL01209.1
OG0000383	ALU72855.1	UDL00537.1
OG0000384	ALU71219.1	UDK99437.1
OG0000386	ALU70028.1, ALU68313.1	UDL00543.1
OG0000388	ALU68082.1, ALU73466.1	UDL02199.1
OG0000393	ALU69373.1	UDL00190.1, UDL00946.1
OG0000394	ALU68400.1	UDL00329.1
OG0000396	ALU72208.1	UDK99735.1
OG0000397	ALU67799.1	UDL01044.1
OG0000398	ALU67929.1	UDK99687.1, UDL01798.1
OG0000399	ALU70904.1	UDL01604.1, UDL00708.1
OG0000400	ALU69587.1, ALU71820.1	UDL00986.1
OG0000401	ALU71994.1, ALU71620.1	UDK99802.1
OG0000402	ALU71641.1, ALU71640.1	UDK99385.1
OG0000404	ALU70401.1	UDK99335.1
OG0000405	ALU71237.1	UDL00282.1
OG0000406	ALU73117.1	UDK99630.1, UDK99469.1
OG0000407	ALU71863.1, ALU73037.1	UDL02077.1
OG0000408	ALU73401.1, ALU71565.1	UDL00696.1
OG0000411	ALU70398.1	UDL01795.1
OG0000412	ALU70811.1	UDK99960.1
OG0000413	ALU71089.1	UDK99856.1
OG0000414	ALU71088.1	UDK99841.1
OG0000415	ALU72922.1	UDL00661.1, UDK99553.1
OG0000416	ALU67748.1	UDL00103.1
OG0000417	ALU72048.1	UDL00717.1
OG0000418	ALU72395.1	UDL01947.1
OG0000419	ALU71708.1	UDL01291.1
OG0000422	ALU70154.1	UDL00045.1
OG0000423	ALU70511.1, ALU72183.1	UDL00075.1
OG0000425	ALU68628.1	UDL01640.1, UDL02231.1
OG0000427	ALU69995.1	UDL01290.1
OG0000429	ALU70194.1, ALU71273.1	UDL02202.1
OG0000430	ALU70721.1, ALU70201.1	UDK99681.1
OG0000431	ALU71259.1, ALU70475.1	UDL01268.1
OG0000432	ALU71628.1, ALU69795.1	UDK99287.1
OG0000433	ALU71313.1	UDL01848.1
OG0000434	ALU70173.1, ALU68258.1	UDL00124.1
OG0000435	ALU69598.1	UDL01389.1
OG0000436	ALU71538.1, ALU69784.1	UDL01385.1
OG0000437	ALU70581.1	UDL00931.1
OG0000438	ALU70583.1	UDL01730.1
OG0000439	ALU70584.1, ALU67835.1	UDK99493.1
OG0000440	ALU70586.1, ALU70204.1	UDL00901.1
OG0000442	ALU69545.1, ALU71544.1	UDL00975.1
OG0000443	ALU70247.1	UDK99872.1
OG0000444	ALU70432.1, ALU69926.1	UDL01458.1
OG0000445	ALU71422.1, ALU73020.1	UDL00389.1
OG0000446	ALU71405.1, ALU70352.1	UDL00868.1
OG0000447	ALU71311.1	UDK99587.1
OG0000448	ALU70638.1	UDL01366.1
OG0000449	ALU71617.1	UDL02232.1
